co,PT08.S1(CO),NMHC(GT),benzene,PT08.S2(NMHC),nox,PT08.S3(NOx),no2,PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour_sin,hour_cos,co_lag1,co_std_3h,no2_lag1,no2_std_3h,nox_lag1,nox_std_3h,benzene_lag1,benzene_std_3h,PT08.S1(CO)_lag1,PT08.S1(CO)_diff,PT08.S2(NMHC)_lag1,PT08.S2(NMHC)_diff,PT08.S3(NOx)_lag1,PT08.S3(NOx)_diff,PT08.S4(NO2)_lag1,PT08.S4(NO2)_diff,PT08.S5(O3)_lag1,PT08.S5(O3)_diff,heat_index
0.6499999999999999,1011.0,14.0,2.5,527.0,53.429729729729736,1818.0,55.0,1197.0,445.0,10.1,60.5,0.7465,0.8660254037844386,0.5000000000000001,0.6,0.16072751268321314,55.0,2.8867513459480914,53.429729729729736,0.0,2.5,0.0,1010.0,1.0,561.0,-34.0,1705.0,113.0,1235.0,-38.0,501.0,-56.0,611.05
0.7,1066.0,8.0,2.5,512.0,53.429729729729736,1918.0,55.0,1182.0,422.0,11.0,56.2,0.7366,0.9659258262890683,0.25881904510252074,0.6499999999999999,0.04999999999999074,55.0,0.0,53.429729729729736,0.0,2.5,0.0,1011.0,55.0,527.0,-15.0,1818.0,100.0,1197.0,-15.0,445.0,-23.0,618.2
0.7,1052.0,16.0,2.5,553.0,53.429729729729736,1738.0,55.0,1221.0,472.0,10.5,58.1,0.7353,1.0,6.123233995736766e-17,0.7,0.028867513459465553,55.0,0.0,53.429729729729736,0.0,2.5,0.0,1066.0,-14.0,512.0,41.0,1918.0,-180.0,1182.0,39.0,422.0,50.0,610.0500000000001
1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,0.9659258262890683,-0.25881904510252063,0.7,0.23094010767584858,55.0,15.588457268119889,53.429729729729736,25.732657538394847,2.5,0.40414518843271496,1052.0,92.0,553.0,114.0,1738.0,-248.0,1221.0,118.0,472.0,258.0,607.92
2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,0.8660254037844387,-0.4999999999999998,1.1,0.6658328118479389,82.0,28.5131548587665,98.0,60.964059172886095,3.2,2.9938826518975854,1144.0,189.0,667.0,233.0,1490.0,-354.0,1339.0,178.0,730.0,372.0,619.9200000000001
2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,0.7071067811865476,-0.7071067811865475,2.0,0.5859465277082315,112.0,15.176736583776274,174.0,38.214307966170615,8.0,3.2908965343808663,1333.0,18.0,900.0,60.0,1136.0,-57.0,1517.0,66.0,1102.0,-74.0,636.3000000000001
1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,0.49999999999999994,-0.8660254037844387,2.2,0.2516611478423587,101.0,7.371114795831984,129.0,32.03643758805482,9.5,1.601041327803044,1351.0,-118.0,960.0,-133.0,1079.0,139.0,1583.0,-137.0,1028.0,-168.0,630.72
1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,0.258819045102521,-0.9659258262890682,1.7,0.36055512754639896,98.0,4.582575694955827,112.0,16.99999999999997,6.3,2.3158871590242325,1233.0,-54.0,827.0,-65.0,1218.0,110.0,1446.0,-84.0,860.0,-189.0,607.9499999999999
1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,1.2246467991473532e-16,-1.0,1.5,0.09999999999999817,92.0,2.999999999999981,95.0,8.504900548115348,5.0,0.6999999999999926,1179.0,57.0,762.0,12.0,1328.0,-27.0,1362.0,39.0,671.0,-7.0,634.6
1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,-0.2588190451025208,-0.9659258262890683,1.6,0.2081665999466126,95.0,10.78579312490895,104.0,27.221315177632377,5.2,1.2741009902410891,1236.0,50.0,774.0,95.0,1301.0,-139.0,1401.0,136.0,664.0,135.0,634.1200000000001
2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,-0.4999999999999997,-0.8660254037844388,1.9,0.6806859285554049,112.0,16.50252505931541,146.0,51.79124765183139,7.3,3.207802986469088,1286.0,85.0,869.0,165.0,1162.0,-179.0,1537.0,193.0,799.0,238.0,648.8
2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,-0.7071067811865471,-0.7071067811865479,2.9,0.5131601439446891,128.0,8.717797887081328,207.0,30.80584360149867,11.5,2.1283796653792764,1371.0,-61.0,1034.0,-101.0,983.0,99.0,1730.0,-83.0,1037.0,-91.0,662.34
2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,-0.8660254037844385,-0.5000000000000004,2.2,0.40414518843273883,126.0,2.5166114784235174,184.0,11.590225767142325,8.8,1.7214335111567143,1310.0,-18.0,933.0,-21.0,1082.0,21.0,1647.0,-56.0,946.0,11.0,690.64
2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,-0.9659258262890683,-0.25881904510252063,2.2,0.40414518843273883,131.0,4.509249752822861,193.0,31.78574103797692,8.3,1.5502687938977975,1292.0,91.0,912.0,108.0,1103.0,-95.0,1591.0,128.0,957.0,147.0,662.48
4.1,1581.0,307.0,20.6,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,-1.0,-1.8369701987210297e-16,2.9,0.9609023536933053,135.0,10.58300524425835,243.0,44.136152981427784,11.2,6.429878174066235,1383.0,198.0,1020.0,299.0,1008.0,-209.0,1719.0,364.0,1104.0,305.0,661.2600000000001
4.1,1776.0,461.0,20.6,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,-0.9659258262890684,0.2588190451025203,4.1,0.6928203230275518,151.0,18.55622087962237,281.0,72.39705334703432,20.6,5.427092530382483,1581.0,195.0,1319.0,169.0,799.0,-97.0,2083.0,250.0,1409.0,295.0,672.2099999999999
4.1,1640.0,401.0,20.6,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,-0.8660254037844386,0.5000000000000001,4.1,0.0,172.0,10.692676621563628,383.0,52.16640042530568,20.6,0.0,1776.0,-136.0,1488.0,-84.0,702.0,41.0,2333.0,-142.0,1704.0,-50.0,650.88
3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,-0.7071067811865477,0.7071067811865474,4.1,0.11547005383793131,165.0,19.087517736293876,351.0,75.04887296511077,20.6,4.5033320996790795,1640.0,-327.0,1404.0,-328.0,743.0,214.0,2191.0,-484.0,1654.0,-369.0,582.4
1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,-0.5000000000000004,0.8660254037844384,3.9,1.4468356276140475,136.0,40.50102879351749,240.0,128.89659938622637,12.8,7.950471684120382,1313.0,-348.0,1076.0,-327.0,957.0,368.0,1707.0,-374.0,1285.0,-464.0,519.88
1.0,913.0,26.0,2.6,629.0,53.429729729729736,1565.0,55.0,1252.0,552.0,8.2,60.8,0.6657,-0.25881904510252157,0.9659258262890681,1.5,1.5502687938977986,85.0,40.951190458886515,94.0,98.12442150871892,4.7,5.386093203798088,965.0,-52.0,749.0,-120.0,1325.0,240.0,1333.0,-81.0,821.0,-269.0,498.55999999999995
1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0.0,1.0,1.0,0.3605551275464014,55.0,21.633307652783877,53.429729729729736,34.476631686647934,2.6,1.6703293088489901,913.0,167.0,629.0,176.0,1565.0,-311.0,1252.0,123.0,552.0,264.0,485.55000000000007
1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,0.25881904510252074,0.9659258262890683,1.7,0.47258156262526274,97.0,28.746014216467145,122.0,43.116721187612235,5.9,2.064784088793131,1080.0,-36.0,805.0,24.0,1254.0,-7.0,1375.0,3.0,816.0,16.0,459.69000000000005
1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,0.49999999999999994,0.8660254037844387,1.9,0.251661147842362,110.0,9.71253485622224,133.0,26.83902631120081,6.4,1.2096831541082493,1044.0,-56.0,829.0,-111.0,1247.0,149.0,1378.0,-74.0,832.0,-140.0,438.78
0.8,889.0,21.0,2.5,574.0,53.429729729729736,1680.0,61.5,1187.0,512.0,7.0,62.3,0.6261,0.7071067811865476,0.7071067811865476,1.4,0.5507570547286118,91.0,24.438698819699834,82.0,40.30857694957761,4.1,1.9604421270043342,988.0,-99.0,718.0,-144.0,1396.0,284.0,1304.0,-117.0,692.0,-180.0,436.09999999999997
0.7,831.0,10.0,2.5,506.0,53.429729729729736,1893.0,55.0,1134.0,384.0,6.1,65.9,0.6248,0.8660254037844386,0.5000000000000001,0.8,0.3785938897200208,61.5,19.185497995447772,53.429729729729736,16.495053231360764,2.5,0.9237604307033682,889.0,-58.0,574.0,-68.0,1680.0,213.0,1187.0,-53.0,512.0,-128.0,401.99
0.6,847.0,7.0,2.5,501.0,53.429729729729736,1895.0,55.0,1155.0,394.0,6.3,65.0,0.6233,0.9659258262890683,0.25881904510252074,0.7,0.10000000000000986,55.0,3.7527767497320648,53.429729729729736,0.0,2.5,0.0,831.0,16.0,506.0,-5.0,1893.0,2.0,1134.0,21.0,384.0,10.0,409.5
0.8,927.0,17.0,2.5,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,1.0,6.123233995736766e-17,0.6,0.10000000000000986,55.0,9.237604307033822,53.429729729729736,1.4839462324290806,2.5,0.0,847.0,80.0,501.0,70.0,1895.0,-210.0,1155.0,68.0,394.0,93.0,427.71999999999997
1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,0.9659258262890683,-0.25881904510252063,0.8,0.4163331998932289,71.0,24.986663109213506,56.0,31.367874296199638,2.5,1.0969655114602614,927.0,164.0,571.0,159.0,1685.0,-298.0,1223.0,138.0,487.0,261.0,416.64
4.1,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,0.8660254037844387,-0.4999999999999998,1.4,1.7578395831246951,104.0,35.0190424388408,109.0,132.29638443031362,4.4,8.396626306638474,1091.0,496.0,730.0,506.0,1387.0,-490.0,1361.0,539.0,748.0,652.0,460.63
3.75,1545.0,205.0,20.6,1353.0,247.0,767.0,131.5,2058.0,1588.0,9.2,56.2,0.6561,0.7071067811865476,-0.7071067811865475,4.1,1.4682756326158029,141.0,19.215878850575653,307.0,101.52832117197646,17.9,8.679285684893657,1587.0,-42.0,1236.0,117.0,897.0,-130.0,1900.0,158.0,1400.0,188.0,517.04
3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,0.49999999999999994,-0.8660254037844387,3.75,0.507444578254614,131.5,9.500000000000043,247.0,60.00000000000005,20.6,3.318132004607406,1545.0,-195.0,1353.0,-235.0,767.0,145.0,2058.0,-346.0,1588.0,-351.0,550.44
2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,0.258819045102521,-0.9659258262890682,3.1,0.5299371031861576,122.0,10.515861036231614,187.0,30.005555041247547,14.0,4.660472079092414,1350.0,-87.0,1118.0,-81.0,912.0,57.0,1712.0,-114.0,1237.0,-70.0,549.12
2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,1.2246467991473532e-16,-1.0,2.7,0.503322295684719,143.0,15.394804318340658,216.0,36.755951898978196,11.6,1.9218047073866007,1263.0,-57.0,1037.0,-51.0,969.0,66.0,1598.0,-61.0,1167.0,-208.0,547.5
2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,-0.2588190451025208,-0.9659258262890683,2.1,0.3055050463303926,113.0,16.5227116418583,143.0,38.19685850956853,10.2,0.7023769168568245,1206.0,46.0,986.0,30.0,1035.0,-27.0,1537.0,56.0,959.0,24.0,555.45
2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,-0.4999999999999997,-0.8660254037844388,2.5,0.3055050463303926,116.0,5.131601439446792,160.0,10.78579312490879,11.0,1.3316656236958657,1252.0,35.0,1016.0,62.0,1008.0,-59.0,1593.0,67.0,983.0,78.0,581.9100000000001
2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,-0.7071067811865471,-0.7071067811865479,2.7,0.20000000000000548,123.0,5.131601439446838,163.0,16.52271164185825,12.8,1.6041612554021156,1287.0,66.0,1078.0,44.0,949.0,-27.0,1660.0,80.0,1061.0,78.0,584.6
2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,-0.8660254037844385,-0.5000000000000004,2.9,0.10000000000001122,126.0,2.9999999999999445,190.0,13.527749258468639,14.2,0.8386497083605825,1353.0,-44.0,1122.0,-49.0,922.0,32.0,1740.0,-83.0,1139.0,-27.0,591.48
2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,-0.9659258262890683,-0.25881904510252063,2.8,0.26457513110646325,120.0,3.7859388972001184,178.0,20.526405757787494,12.7,1.2583057392117754,1309.0,-35.0,1073.0,-32.0,954.0,52.0,1657.0,-47.0,1112.0,-118.0,579.67
3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,-1.0,-1.8369701987210297e-16,2.4,0.7767453465154044,119.0,17.03917055884276,150.0,27.999999999999975,11.7,4.1295681775862825,1274.0,236.0,1041.0,236.0,1006.0,-194.0,1610.0,300.0,994.0,416.0,597.96
3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,-0.9659258262890684,0.2588190451025203,3.9,0.8144527815247091,149.0,16.2890556304942,206.0,31.24099870362661,19.3,4.107310555582563,1510.0,15.0,1277.0,-31.0,812.0,9.0,1910.0,-63.0,1410.0,38.0,624.96
4.1,1843.0,488.0,20.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,-0.8660254037844386,0.5000000000000001,3.7,0.2000000000000045,145.0,13.428824718989251,202.0,78.54510381515414,18.2,1.20138808606264,1525.0,318.0,1246.0,364.0,821.0,-197.0,1847.0,543.0,1448.0,439.0,651.45
4.1,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,-0.7071067811865477,0.7071067811865474,4.1,0.23094010767585416,170.0,13.428824718989251,340.0,69.02173570694966,20.6,1.2662279942148063,1843.0,-245.0,1610.0,-311.0,624.0,128.0,2390.0,-449.0,1887.0,-260.0,644.93
3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,-0.5000000000000004,0.8660254037844384,4.1,0.3464101615137781,149.0,15.821925715074524,274.0,45.39823785126481,20.1,3.5019042438840695,1598.0,-114.0,1299.0,-172.0,752.0,87.0,1941.0,-218.0,1627.0,-136.0,650.1
4.1,1677.0,367.0,20.6,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,-0.25881904510252157,0.9659258262890681,3.5,0.3464101615137781,139.0,7.6376261582598515,253.0,23.544284515213977,14.3,3.5019042438840695,1484.0,193.0,1127.0,219.0,839.0,-98.0,1723.0,339.0,1491.0,166.0,626.6199999999999
2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0.0,1.0,4.1,0.7023769168568503,134.0,13.796134724383267,300.0,53.631458430042144,20.6,5.519359866264681,1677.0,-397.0,1346.0,-382.0,741.0,222.0,2062.0,-518.0,1657.0,-372.0,608.9499999999999
1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,0.25881904510252074,0.9659258262890683,2.7,1.1135528725660049,113.0,18.55622087962234,193.0,81.9410357106458,9.6,7.072010558061497,1280.0,-84.0,964.0,-91.0,963.0,108.0,1544.0,-81.0,1285.0,-141.0,581.49
1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,0.49999999999999994,0.8660254037844387,1.9,0.5686240703077332,97.0,15.50268793897788,139.0,55.003030219555306,7.4,2.1007935008784897,1196.0,-12.0,873.0,-91.0,1071.0,105.0,1463.0,-98.0,1144.0,-101.0,562.32
1.7,1172.0,46.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,0.7071067811865476,0.7071067811865476,1.6,0.15275252316519505,82.0,8.519585279421126,83.0,29.308701779505245,5.4,1.1547005383792401,1184.0,-12.0,782.0,1.0,1176.0,3.0,1365.0,15.0,1043.0,-47.0,526.5
1.35,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,0.8660254037844386,0.5000000000000001,1.7,0.1802775637731992,82.5,0.4999999999952838,96.0,12.99999999999891,5.4,0.4618802153516736,1172.0,-25.0,783.0,38.0,1179.0,-47.0,1380.0,32.0,996.0,-4.0,497.69999999999993
1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,0.9659258262890683,0.25881904510252074,1.35,0.34999999999999953,83.0,10.251016209787593,109.0,24.26932219902258,6.2,1.8903262505010374,1147.0,-169.0,821.0,-196.0,1132.0,288.0,1412.0,-138.0,992.0,-173.0,527.8800000000001
1.2,1100.0,27.0,2.9,646.0,53.429729729729736,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,1.0,6.123233995736766e-17,1.0,0.17559422921421095,65.0,12.09683154108245,62.0,29.91795578582691,2.6,1.9974984355438128,978.0,122.0,625.0,21.0,1420.0,-14.0,1274.0,-6.0,819.0,16.0,486.0
1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,0.9659258262890683,-0.25881904510252063,1.2,0.25166114784235755,60.0,8.736894948053742,53.429729729729736,47.125224467427195,2.9,1.3650396819628774,1100.0,12.0,646.0,124.0,1406.0,-178.0,1268.0,141.0,835.0,105.0,452.97
2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,0.8660254037844387,-0.4999999999999998,1.5,0.7937253933193776,77.0,18.009256878986655,139.0,101.69069569983395,5.1,4.635730794599702,1112.0,224.0,770.0,273.0,1228.0,-293.0,1409.0,269.0,940.0,252.0,465.4
3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,0.7071067811865476,-0.7071067811865475,2.7,1.101514109457221,96.0,21.03172207246307,256.0,81.1849739791792,11.8,5.095422782589618,1336.0,72.0,1043.0,110.0,935.0,-105.0,1678.0,99.0,1192.0,219.0,573.12
3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,0.49999999999999994,-0.8660254037844387,3.7,0.5000000000000013,119.0,15.695009822658033,295.0,24.433583445741533,15.1,1.680277754817139,1408.0,39.0,1153.0,-72.0,830.0,39.0,1777.0,-110.0,1411.0,54.0,634.8800000000001
4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,0.258819045102521,-0.9659258262890682,3.2,0.4509249752822907,126.0,20.79262689833429,250.0,26.274195198585073,12.9,1.6370705543744901,1447.0,95.0,1081.0,103.0,869.0,-61.0,1667.0,113.0,1465.0,118.0,658.32
3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,1.2246467991473532e-16,-1.0,4.1,0.45092497528229064,158.0,19.39931270260203,296.0,30.237945256471153,16.1,1.6258331197676268,1542.0,-91.0,1184.0,-67.0,808.0,67.0,1780.0,-101.0,1583.0,-196.0,621.9199999999998
2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,-0.2588190451025208,-0.9659258262890683,3.6,0.655743852430201,161.0,20.550750189064548,239.0,71.98842499550423,14.0,1.903505538035898,1451.0,-123.0,1117.0,-58.0,875.0,112.0,1679.0,-79.0,1387.0,-286.0,607.2199999999999
2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,-0.4999999999999997,-0.8660254037844388,2.8,0.8000000000000003,124.0,29.81610303175117,153.0,62.265560304232324,12.3,2.7610384519838442,1328.0,-121.0,1059.0,-135.0,987.0,101.0,1600.0,-112.0,1101.0,-251.0,626.4
2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,-0.7071067811865471,-0.7071067811865479,2.0,0.46188021535169976,102.0,11.135528725660043,118.0,19.924858845170842,8.6,1.9857828011475351,1207.0,33.0,924.0,23.0,1088.0,-39.0,1488.0,44.0,850.0,97.0,618.24
2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,-0.8660254037844385,-0.5000000000000004,2.0,0.28867513459481153,116.0,11.135528725660043,119.0,11.269427669583823,9.2,0.8082903768654875,1240.0,66.0,947.0,40.0,1049.0,-45.0,1532.0,22.0,947.0,131.0,617.7600000000001
2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,-0.9659258262890683,-0.25881904510252063,2.5,0.2516611478423571,124.0,4.932882862316309,138.0,14.73091986265569,10.2,0.7211102550928097,1306.0,20.0,987.0,13.0,1004.0,-28.0,1554.0,48.0,1078.0,6.0,631.2599999999999
3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,-1.0,-1.8369701987210297e-16,2.3,0.47258156262526074,125.0,13.576941236277579,148.0,48.75448697299555,10.6,2.9512709126747443,1326.0,147.0,1000.0,163.0,976.0,-145.0,1602.0,177.0,1084.0,311.0,660.1
4.1,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,-0.9659258262890684,0.2588190451025203,3.2,0.8999999999999998,148.0,20.074859899884785,227.0,65.04101270224302,15.5,4.505922029211486,1473.0,136.0,1163.0,123.0,831.0,-73.0,1779.0,143.0,1395.0,217.0,669.92
4.1,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,-0.8660254037844386,0.5000000000000001,4.1,0.5196152422706632,165.0,8.888194417315775,277.0,29.46183972531271,19.6,2.260530911091465,1609.0,2.0,1286.0,-12.0,758.0,-4.0,1922.0,-7.0,1612.0,85.0,692.37
4.1,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,-0.7071067811865477,0.7071067811865474,4.1,0.0,161.0,3.0550504633044944,279.0,3.0550504633068285,19.2,0.6658328118479421,1611.0,10.0,1274.0,-27.0,754.0,8.0,1915.0,-55.0,1697.0,189.0,716.04
